
Using cache found in /home/daniel/.cache/torch/hub/pytorch_vision_v0.10.0
['features', 'avgpool', 'classifier']
******** Training ********
tensor(1.0057, grad_fn=<NllLossBackward0>)
tensor(0.2440, grad_fn=<NllLossBackward0>)
tensor(2.9545, grad_fn=<NllLossBackward0>)
tensor(1.5468, grad_fn=<NllLossBackward0>)
tensor(0.5908, grad_fn=<NllLossBackward0>)
tensor(0.5555, grad_fn=<NllLossBackward0>)
tensor(0.5917, grad_fn=<NllLossBackward0>)
tensor(1.2357, grad_fn=<NllLossBackward0>)
tensor(0.7172, grad_fn=<NllLossBackward0>)
tensor(1.4733, grad_fn=<NllLossBackward0>)
tensor(0.7809, grad_fn=<NllLossBackward0>)
tensor(0.7316, grad_fn=<NllLossBackward0>)
tensor(1.3405, grad_fn=<NllLossBackward0>)
tensor(0.9589, grad_fn=<NllLossBackward0>)
tensor(1.0267, grad_fn=<NllLossBackward0>)
tensor(1.1872, grad_fn=<NllLossBackward0>)
tensor(0.7672, grad_fn=<NllLossBackward0>)
tensor(0.7186, grad_fn=<NllLossBackward0>)
tensor(0.7184, grad_fn=<NllLossBackward0>)
tensor(0.6989, grad_fn=<NllLossBackward0>)
tensor(0.7017, grad_fn=<NllLossBackward0>)
tensor(0.6447, grad_fn=<NllLossBackward0>)
tensor(0.6474, grad_fn=<NllLossBackward0>)
tensor(0.6654, grad_fn=<NllLossBackward0>)
tensor(0.7075, grad_fn=<NllLossBackward0>)
tensor(0.6796, grad_fn=<NllLossBackward0>)
tensor(0.6173, grad_fn=<NllLossBackward0>)
tensor(1.3196, grad_fn=<NllLossBackward0>)
tensor(1.3033, grad_fn=<NllLossBackward0>)
tensor(0.6285, grad_fn=<NllLossBackward0>)
tensor(0.5400, grad_fn=<NllLossBackward0>)
tensor(1.8351, grad_fn=<NllLossBackward0>)
tensor(0.6304, grad_fn=<NllLossBackward0>)
tensor(0.5418, grad_fn=<NllLossBackward0>)
tensor(0.5454, grad_fn=<NllLossBackward0>)
tensor(0.6451, grad_fn=<NllLossBackward0>)
tensor(0.5587, grad_fn=<NllLossBackward0>)
tensor(0.4796, grad_fn=<NllLossBackward0>)
tensor(0.5059, grad_fn=<NllLossBackward0>)
tensor(0.4948, grad_fn=<NllLossBackward0>)
tensor(0.5217, grad_fn=<NllLossBackward0>)
tensor(0.4447, grad_fn=<NllLossBackward0>)
tensor(0.4004, grad_fn=<NllLossBackward0>)
tensor(0.3823, grad_fn=<NllLossBackward0>)
tensor(2.3708, grad_fn=<NllLossBackward0>)
tensor(2.4666, grad_fn=<NllLossBackward0>)
tensor(0.3425, grad_fn=<NllLossBackward0>)
tensor(0.3699, grad_fn=<NllLossBackward0>)
tensor(0.3357, grad_fn=<NllLossBackward0>)
tensor(0.2667, grad_fn=<NllLossBackward0>)
tensor(0.2953, grad_fn=<NllLossBackward0>)
tensor(0.3624, grad_fn=<NllLossBackward0>)
tensor(0.3862, grad_fn=<NllLossBackward0>)
tensor(0.2048, grad_fn=<NllLossBackward0>)
tensor(1.6791, grad_fn=<NllLossBackward0>)
tensor(2.0159, grad_fn=<NllLossBackward0>)
tensor(1.8727, grad_fn=<NllLossBackward0>)
tensor(0.2480, grad_fn=<NllLossBackward0>)
tensor(0.4240, grad_fn=<NllLossBackward0>)
tensor(0.2946, grad_fn=<NllLossBackward0>)
tensor(0.1922, grad_fn=<NllLossBackward0>)
tensor(1.5020, grad_fn=<NllLossBackward0>)
tensor(0.2911, grad_fn=<NllLossBackward0>)
tensor(1.5541, grad_fn=<NllLossBackward0>)
tensor(0.4737, grad_fn=<NllLossBackward0>)
tensor(0.3419, grad_fn=<NllLossBackward0>)
tensor(0.3685, grad_fn=<NllLossBackward0>)
tensor(1.9865, grad_fn=<NllLossBackward0>)
tensor(2.2176, grad_fn=<NllLossBackward0>)
tensor(0.3987, grad_fn=<NllLossBackward0>)
tensor(1.5158, grad_fn=<NllLossBackward0>)
tensor(0.2012, grad_fn=<NllLossBackward0>)
tensor(1.5936, grad_fn=<NllLossBackward0>)
tensor(0.2016, grad_fn=<NllLossBackward0>)
tensor(0.3003, grad_fn=<NllLossBackward0>)
tensor(0.3292, grad_fn=<NllLossBackward0>)
tensor(0.4598, grad_fn=<NllLossBackward0>)
tensor(0.3880, grad_fn=<NllLossBackward0>)
tensor(0.3873, grad_fn=<NllLossBackward0>)
tensor(1.4849, grad_fn=<NllLossBackward0>)
tensor(1.7449, grad_fn=<NllLossBackward0>)
tensor(1.8155, grad_fn=<NllLossBackward0>)
tensor(0.4796, grad_fn=<NllLossBackward0>)
tensor(0.2754, grad_fn=<NllLossBackward0>)
tensor(0.3642, grad_fn=<NllLossBackward0>)
tensor(1.6319, grad_fn=<NllLossBackward0>)
tensor(0.4251, grad_fn=<NllLossBackward0>)
tensor(0.3739, grad_fn=<NllLossBackward0>)
tensor(0.1564, grad_fn=<NllLossBackward0>)
tensor(0.1992, grad_fn=<NllLossBackward0>)
tensor(1.5046, grad_fn=<NllLossBackward0>)
tensor(0.0662, grad_fn=<NllLossBackward0>)
tensor(0.2436, grad_fn=<NllLossBackward0>)
tensor(0.1123, grad_fn=<NllLossBackward0>)
tensor(0.1643, grad_fn=<NllLossBackward0>)
tensor(0.1098, grad_fn=<NllLossBackward0>)
tensor(0.1043, grad_fn=<NllLossBackward0>)
tensor(2.2350, grad_fn=<NllLossBackward0>)
tensor(6.9791, grad_fn=<NllLossBackward0>)
tensor(0.0205, grad_fn=<NllLossBackward0>)
tensor(0.1512, grad_fn=<NllLossBackward0>)
tensor(0.1399, grad_fn=<NllLossBackward0>)
tensor(2.5778, grad_fn=<NllLossBackward0>)
tensor(0.3274, grad_fn=<NllLossBackward0>)
tensor(0.4083, grad_fn=<NllLossBackward0>)
tensor(0.2150, grad_fn=<NllLossBackward0>)
tensor(0.3904, grad_fn=<NllLossBackward0>)
tensor(1.5416, grad_fn=<NllLossBackward0>)
tensor(0.3649, grad_fn=<NllLossBackward0>)
tensor(0.4155, grad_fn=<NllLossBackward0>)
tensor(0.2766, grad_fn=<NllLossBackward0>)
tensor(1.7546, grad_fn=<NllLossBackward0>)
tensor(0.2327, grad_fn=<NllLossBackward0>)
tensor(1.5022, grad_fn=<NllLossBackward0>)
tensor(0.4283, grad_fn=<NllLossBackward0>)
tensor(0.5762, grad_fn=<NllLossBackward0>)
tensor(0.3017, grad_fn=<NllLossBackward0>)
tensor(0.4040, grad_fn=<NllLossBackward0>)
tensor(0.4167, grad_fn=<NllLossBackward0>)
tensor(0.2616, grad_fn=<NllLossBackward0>)
tensor(0.6202, grad_fn=<NllLossBackward0>)
tensor(0.1801, grad_fn=<NllLossBackward0>)
tensor(0.3095, grad_fn=<NllLossBackward0>)
tensor(0.2438, grad_fn=<NllLossBackward0>)
tensor(2.0000, grad_fn=<NllLossBackward0>)
tensor(1.8947, grad_fn=<NllLossBackward0>)
tensor(0.3373, grad_fn=<NllLossBackward0>)
tensor(0.0891, grad_fn=<NllLossBackward0>)
tensor(0.3010, grad_fn=<NllLossBackward0>)
tensor(0.0931, grad_fn=<NllLossBackward0>)
tensor(2.0913, grad_fn=<NllLossBackward0>)
tensor(0.2266, grad_fn=<NllLossBackward0>)
tensor(0.1753, grad_fn=<NllLossBackward0>)
tensor(1.5206, grad_fn=<NllLossBackward0>)
tensor(0.2047, grad_fn=<NllLossBackward0>)
tensor(0.3181, grad_fn=<NllLossBackward0>)
tensor(0.1550, grad_fn=<NllLossBackward0>)
tensor(2.4620, grad_fn=<NllLossBackward0>)
tensor(0.4783, grad_fn=<NllLossBackward0>)
tensor(0.3751, grad_fn=<NllLossBackward0>)
tensor(1.6030, grad_fn=<NllLossBackward0>)
tensor(0.1037, grad_fn=<NllLossBackward0>)
tensor(0.3339, grad_fn=<NllLossBackward0>)
tensor(0.5518, grad_fn=<NllLossBackward0>)
tensor(0.2186, grad_fn=<NllLossBackward0>)
tensor(0.1780, grad_fn=<NllLossBackward0>)
tensor(0.2121, grad_fn=<NllLossBackward0>)
tensor(0.2465, grad_fn=<NllLossBackward0>)
tensor(0.2245, grad_fn=<NllLossBackward0>)
tensor(2.5995, grad_fn=<NllLossBackward0>)
tensor(0.0332, grad_fn=<NllLossBackward0>)
tensor(0.1927, grad_fn=<NllLossBackward0>)
tensor(2.0038, grad_fn=<NllLossBackward0>)
tensor(0.0329, grad_fn=<NllLossBackward0>)
tensor(0.1217, grad_fn=<NllLossBackward0>)
tensor(0.3820, grad_fn=<NllLossBackward0>)
tensor(0.2303, grad_fn=<NllLossBackward0>)
tensor(0.1280, grad_fn=<NllLossBackward0>)
tensor(0.4339, grad_fn=<NllLossBackward0>)
tensor(0.0280, grad_fn=<NllLossBackward0>)
tensor(0.0108, grad_fn=<NllLossBackward0>)
tensor(4.2155, grad_fn=<NllLossBackward0>)
tensor(0.1992, grad_fn=<NllLossBackward0>)
tensor(2.0548, grad_fn=<NllLossBackward0>)
tensor(0.1037, grad_fn=<NllLossBackward0>)
tensor(1.4974, grad_fn=<NllLossBackward0>)
tensor(0.6154, grad_fn=<NllLossBackward0>)
tensor(0.4436, grad_fn=<NllLossBackward0>)
tensor(0.3743, grad_fn=<NllLossBackward0>)
tensor(0.5556, grad_fn=<NllLossBackward0>)
tensor(1.4688, grad_fn=<NllLossBackward0>)
tensor(0.3993, grad_fn=<NllLossBackward0>)
tensor(1.3706, grad_fn=<NllLossBackward0>)
tensor(1.2455, grad_fn=<NllLossBackward0>)
tensor(0.3491, grad_fn=<NllLossBackward0>)
tensor(0.4443, grad_fn=<NllLossBackward0>)
tensor(0.7089, grad_fn=<NllLossBackward0>)
tensor(0.2023, grad_fn=<NllLossBackward0>)
tensor(0.2617, grad_fn=<NllLossBackward0>)
tensor(0.0623, grad_fn=<NllLossBackward0>)
tensor(2.2811, grad_fn=<NllLossBackward0>)
tensor(0.4751, grad_fn=<NllLossBackward0>)
tensor(0.0617, grad_fn=<NllLossBackward0>)
tensor(0.4532, grad_fn=<NllLossBackward0>)
tensor(0.2894, grad_fn=<NllLossBackward0>)
tensor(2.3678, grad_fn=<NllLossBackward0>)
tensor(0.2104, grad_fn=<NllLossBackward0>)
tensor(1.8318, grad_fn=<NllLossBackward0>)
tensor(0.4457, grad_fn=<NllLossBackward0>)
tensor(0.1153, grad_fn=<NllLossBackward0>)
tensor(1.5619, grad_fn=<NllLossBackward0>)
tensor(1.6177, grad_fn=<NllLossBackward0>)
tensor(0.1778, grad_fn=<NllLossBackward0>)
tensor(1.4906, grad_fn=<NllLossBackward0>)
tensor(0.2771, grad_fn=<NllLossBackward0>)
tensor(0.4761, grad_fn=<NllLossBackward0>)
tensor(0.1422, grad_fn=<NllLossBackward0>)
tensor(0.1837, grad_fn=<NllLossBackward0>)
tensor(0.0897, grad_fn=<NllLossBackward0>)
tensor(1.7398, grad_fn=<NllLossBackward0>)
tensor(0.7100, grad_fn=<NllLossBackward0>)
tensor(0.1187, grad_fn=<NllLossBackward0>)
tensor(0.6176, grad_fn=<NllLossBackward0>)
tensor(0.3245, grad_fn=<NllLossBackward0>)
tensor(0.6524, grad_fn=<NllLossBackward0>)
tensor(1.6920, grad_fn=<NllLossBackward0>)
tensor(0.5729, grad_fn=<NllLossBackward0>)
tensor(0.4630, grad_fn=<NllLossBackward0>)
tensor(1.4900, grad_fn=<NllLossBackward0>)
tensor(1.5550, grad_fn=<NllLossBackward0>)
tensor(0.1877, grad_fn=<NllLossBackward0>)
tensor(0.6177, grad_fn=<NllLossBackward0>)
tensor(2.1861, grad_fn=<NllLossBackward0>)
tensor(0.0316, grad_fn=<NllLossBackward0>)
tensor(0.5727, grad_fn=<NllLossBackward0>)
tensor(0.5735, grad_fn=<NllLossBackward0>)
tensor(0.0902, grad_fn=<NllLossBackward0>)
tensor(0.3789, grad_fn=<NllLossBackward0>)
tensor(1.6117, grad_fn=<NllLossBackward0>)
tensor(1.5128, grad_fn=<NllLossBackward0>)
tensor(0.2334, grad_fn=<NllLossBackward0>)
tensor(0.5848, grad_fn=<NllLossBackward0>)
tensor(0.2221, grad_fn=<NllLossBackward0>)
tensor(0.0405, grad_fn=<NllLossBackward0>)
tensor(0.1852, grad_fn=<NllLossBackward0>)
tensor(0.3516, grad_fn=<NllLossBackward0>)
tensor(0.2065, grad_fn=<NllLossBackward0>)
tensor(0.0608, grad_fn=<NllLossBackward0>)
tensor(0.2452, grad_fn=<NllLossBackward0>)
tensor(0.0190, grad_fn=<NllLossBackward0>)
tensor(1.7144, grad_fn=<NllLossBackward0>)
tensor(1.6638, grad_fn=<NllLossBackward0>)
tensor(0.0063, grad_fn=<NllLossBackward0>)
tensor(0.3989, grad_fn=<NllLossBackward0>)
tensor(0.0114, grad_fn=<NllLossBackward0>)
tensor(0.0035, grad_fn=<NllLossBackward0>)
tensor(2.8536, grad_fn=<NllLossBackward0>)
tensor(0.0363, grad_fn=<NllLossBackward0>)
tensor(0.0042, grad_fn=<NllLossBackward0>)
tensor(0.2576, grad_fn=<NllLossBackward0>)
tensor(1.7753, grad_fn=<NllLossBackward0>)
tensor(1.8943, grad_fn=<NllLossBackward0>)
tensor(0.1155, grad_fn=<NllLossBackward0>)
tensor(0.1493, grad_fn=<NllLossBackward0>)
tensor(0.2563, grad_fn=<NllLossBackward0>)
tensor(0.0768, grad_fn=<NllLossBackward0>)
tensor(1.4341, grad_fn=<NllLossBackward0>)
tensor(0.4698, grad_fn=<NllLossBackward0>)
tensor(0.3643, grad_fn=<NllLossBackward0>)
tensor(1.6538, grad_fn=<NllLossBackward0>)
tensor(0.0169, grad_fn=<NllLossBackward0>)
tensor(0.4987, grad_fn=<NllLossBackward0>)
tensor(0.1911, grad_fn=<NllLossBackward0>)
tensor(0.0251, grad_fn=<NllLossBackward0>)
tensor(2.2524, grad_fn=<NllLossBackward0>)
tensor(0.1732, grad_fn=<NllLossBackward0>)
tensor(0.3179, grad_fn=<NllLossBackward0>)
tensor(0.4487, grad_fn=<NllLossBackward0>)
tensor(0.5759, grad_fn=<NllLossBackward0>)
tensor(0.0708, grad_fn=<NllLossBackward0>)
tensor(1.3765, grad_fn=<NllLossBackward0>)
tensor(0.4015, grad_fn=<NllLossBackward0>)
tensor(1.4175, grad_fn=<NllLossBackward0>)
tensor(1.7840, grad_fn=<NllLossBackward0>)
tensor(0.4496, grad_fn=<NllLossBackward0>)
tensor(0.1681, grad_fn=<NllLossBackward0>)
tensor(0.5265, grad_fn=<NllLossBackward0>)
tensor(0.6611, grad_fn=<NllLossBackward0>)
tensor(0.3377, grad_fn=<NllLossBackward0>)
tensor(1.6117, grad_fn=<NllLossBackward0>)
tensor(0.2165, grad_fn=<NllLossBackward0>)
tensor(0.0028, grad_fn=<NllLossBackward0>)
tensor(1.6518, grad_fn=<NllLossBackward0>)
tensor(0.4892, grad_fn=<NllLossBackward0>)
tensor(1.8842, grad_fn=<NllLossBackward0>)
tensor(0.1016, grad_fn=<NllLossBackward0>)
tensor(1.8114, grad_fn=<NllLossBackward0>)
tensor(0.2655, grad_fn=<NllLossBackward0>)
tensor(0.0358, grad_fn=<NllLossBackward0>)
tensor(0.1149, grad_fn=<NllLossBackward0>)
tensor(0.4178, grad_fn=<NllLossBackward0>)
tensor(1.4066, grad_fn=<NllLossBackward0>)
tensor(1.8311, grad_fn=<NllLossBackward0>)
tensor(0.2701, grad_fn=<NllLossBackward0>)
tensor(0.5036, grad_fn=<NllLossBackward0>)
tensor(0.0185, grad_fn=<NllLossBackward0>)
tensor(0.0100, grad_fn=<NllLossBackward0>)
tensor(1.2568, grad_fn=<NllLossBackward0>)
tensor(0.2074, grad_fn=<NllLossBackward0>)
tensor(0.1201, grad_fn=<NllLossBackward0>)
tensor(0.5582, grad_fn=<NllLossBackward0>)
tensor(0.3053, grad_fn=<NllLossBackward0>)
tensor(0.5310, grad_fn=<NllLossBackward0>)
tensor(0.1396, grad_fn=<NllLossBackward0>)
tensor(0.5885, grad_fn=<NllLossBackward0>)
tensor(0.0278, grad_fn=<NllLossBackward0>)
tensor(0.0005, grad_fn=<NllLossBackward0>)
tensor(0.0869, grad_fn=<NllLossBackward0>)
tensor(0.0026, grad_fn=<NllLossBackward0>)
tensor(0.5104, grad_fn=<NllLossBackward0>)
tensor(0.0002, grad_fn=<NllLossBackward0>)
tensor(0.0010, grad_fn=<NllLossBackward0>)
tensor(0.0902, grad_fn=<NllLossBackward0>)
tensor(9.5367e-06, grad_fn=<NllLossBackward0>)
tensor(0.0012, grad_fn=<NllLossBackward0>)
tensor(1.4305e-06, grad_fn=<NllLossBackward0>)
tensor(2.3842e-07, grad_fn=<NllLossBackward0>)
tensor(0.0164, grad_fn=<NllLossBackward0>)
tensor(2.3738, grad_fn=<NllLossBackward0>)
tensor(0.0056, grad_fn=<NllLossBackward0>)
tensor(0.0040, grad_fn=<NllLossBackward0>)
tensor(0.0011, grad_fn=<NllLossBackward0>)
tensor(9.6436e-05, grad_fn=<NllLossBackward0>)
tensor(2.9802e-06, grad_fn=<NllLossBackward0>)
tensor(0.0283, grad_fn=<NllLossBackward0>)
tensor(1.7396, grad_fn=<NllLossBackward0>)
tensor(1.6927, grad_fn=<NllLossBackward0>)
tensor(0.0231, grad_fn=<NllLossBackward0>)
tensor(2.6226e-06, grad_fn=<NllLossBackward0>)
tensor(0.0003, grad_fn=<NllLossBackward0>)
tensor(0.0005, grad_fn=<NllLossBackward0>)
tensor(1.5515, grad_fn=<NllLossBackward0>)
